# Title: TPAT3-Mock-MonkeyEveryday Results,,,,
# Date: 2023-12-04_19-00-12,,,,
# Description: This CSV file contains exam results.,,,,
# Generated by: Exam Recorder version 1.0 created by TGOD,,,,
,,,,
Total Time,Question Number,Your Answer,Correct Answer,Time Used
Section 1,,,,
00:00:43,1,1,1,00:00:43
00:01:14,2,3,2,00:00:31
00:02:00,3,5,5,00:00:46
00:03:18,4,2,2,00:01:17
00:14:50,5,4,2,00:11:32
00:16:26,6,2,4,00:01:36
00:19:56,7,3,3,00:03:30
00:20:49,8,4,4,00:00:53
00:21:29,9,2,2,00:00:40
00:22:07,10,4,4,00:00:38
00:30:44,11,5,3,00:08:37
00:34:59,12,4,4,00:04:15
00:39:21,13,2,2,00:04:21
00:41:04,14,3,3,00:01:43
00:42:34,15,2,3,00:01:30
Section 2,,,,
00:43:29,16,4,4,00:00:56
00:45:12,17,2,2,00:01:43
00:45:53,18,5,5,00:00:42
00:46:20,19,5,5,00:00:27
00:48:30,20,5,1,00:02:10
00:49:47,21,2,2,00:01:17
00:50:42,22,3,3,00:00:55
00:51:27,23,2,3,00:00:45
00:51:50,24,1,1,00:00:23
00:58:52,25,2,2,00:07:01
00:59:25,26,4,1,00:00:33
01:00:27,27,3,3,00:01:02
01:00:44,28,4,4,00:00:18
01:01:28,29,3,3,00:00:43
01:01:56,30,1,1,00:00:29
Section 3,,,,
01:04:47,31,1,3,00:02:51
01:06:19,32,2,1,00:01:32
01:07:02,33,5,2,00:00:43
01:08:27,34,2,3,00:01:25
01:09:38,35,2,1,00:01:11
01:10:14,36,5,4,00:00:36
01:11:11,37,2,2,00:00:56
01:15:12,38,2,2,00:04:02
01:15:46,39,5,5,00:00:34
01:16:08,40,1,1,00:00:22
01:17:15,41,5,5,00:01:07
01:18:11,42,5,3,00:00:56
01:18:47,43,3,5,00:00:36
01:19:07,44,3,3,00:00:20
01:20:04,45,1,1,00:00:57
Section 4,,,,
01:20:54,46,2,2,00:00:50
01:22:06,47,1,2,00:01:12
01:23:59,48,4,4,00:01:53
01:24:55,49,1,3,00:00:55
01:25:26,50,2,2,00:00:31
01:25:58,51,1,1,00:00:33
01:27:22,52,3,3,00:01:24
01:31:11,53,1,3,00:03:49
01:31:59,54,1,2,00:00:47
01:32:17,55,4,4,00:00:19
01:33:35,56,5,5,00:01:18
01:33:59,57,3,3,00:00:25
01:34:42,58,1,2,00:00:43
01:35:03,59,4,5,00:00:21
01:35:28,60,3,1,00:00:25
Section 5,,,,
01:35:40,61,4,4,00:00:12
01:35:56,62,4,4,00:00:16
01:36:28,63,2,2,00:00:32
01:36:47,64,1,1,00:00:19
01:37:15,65,3,1,00:00:28
01:37:40,66,4,1,00:00:25
01:38:01,67,4,3,00:00:21
01:38:16,68,2,2,00:00:15
01:38:30,69,1,3,00:00:14
01:39:07,70,5,5,00:00:37
Sections,amount,correct,point,Time used
Section 1,15,10,13.33,00:42:34
Section 2,15,12,16.00,00:19:23
Section 3,15,7,9.33,00:18:08
Section 4,15,8,10.67,00:15:24
Section 5,10,6,12.00,00:03:38
Total,70,43,61.43,01:39:07
